user_id,timestamp,entry_text,mood_score,emotion,predicted_emotions
u003,2025-08-08 00:00:00,Today I felt a bit of joy due to recent events. Reflecting helped me cope better.,0.64,joy,['joy']
u002,2025-08-09 22:00:00,Today I felt a bit of neutral due to recent events. Reflecting helped me cope better.,0.87,neutral,"['sadness', 'joy']"
u005,2025-08-01 09:00:00,Today I felt a bit of neutral due to recent events. Reflecting helped me cope better.,0.79,neutral,"['sadness', 'joy']"
u001,2025-08-11 13:00:00,Today I felt a bit of anger due to recent events. Reflecting helped me cope better.,0.14,anger,"['sadness', 'joy', 'anger']"
u001,2025-08-10 10:00:00,Today I felt a bit of neutral due to recent events. Reflecting helped me cope better.,0.23,neutral,"['sadness', 'joy']"
u005,2025-08-04 03:00:00,Today I felt a bit of sadness due to recent events. Reflecting helped me cope better.,0.73,sadness,"['sadness', 'joy']"
u001,2025-08-08 09:00:00,Today I felt a bit of neutral due to recent events. Reflecting helped me cope better.,0.9,neutral,"['sadness', 'joy']"
u003,2025-08-07 00:00:00,Today I felt a bit of fear due to recent events. Reflecting helped me cope better.,0.8,fear,"['sadness', 'joy', 'fear']"
u002,2025-08-07 21:00:00,Today I felt a bit of neutral due to recent events. Reflecting helped me cope better.,0.22,neutral,"['sadness', 'joy']"
u001,2025-08-04 03:00:00,Today I felt a bit of joy due to recent events. Reflecting helped me cope better.,0.15,joy,['joy']
u001,2025-08-10 07:00:00,Today I felt a bit of sadness due to recent events. Reflecting helped me cope better.,0.14,sadness,"['sadness', 'joy']"
u003,2025-08-04 01:00:00,Today I felt a bit of neutral due to recent events. Reflecting helped me cope better.,0.65,neutral,"['sadness', 'joy']"
u001,2025-08-09 01:00:00,Today I felt a bit of anger due to recent events. Reflecting helped me cope better.,0.71,anger,"['sadness', 'joy', 'anger']"
u004,2025-08-06 09:00:00,Today I felt a bit of joy due to recent events. Reflecting helped me cope better.,0.85,joy,['joy']
u004,2025-08-10 23:00:00,Today I felt a bit of surprise due to recent events. Reflecting helped me cope better.,0.5,surprise,"['joy', 'surprise']"
u001,2025-08-01 00:00:00,Today I felt a bit of joy due to recent events. Reflecting helped me cope better.,0.66,joy,['joy']
u004,2025-08-07 03:00:00,Today I felt a bit of sadness due to recent events. Reflecting helped me cope better.,0.34,sadness,"['sadness', 'joy']"
u001,2025-08-09 01:00:00,Today I felt a bit of fear due to recent events. Reflecting helped me cope better.,0.75,fear,"['sadness', 'joy', 'fear']"
u004,2025-08-01 23:00:00,Today I felt a bit of neutral due to recent events. Reflecting helped me cope better.,0.93,neutral,"['sadness', 'joy']"
